n,i,seq,par,speed_up
1024,10,9.75e-07,0.000109033,0.00894225
1024,10,1.092e-06,8.3006e-05,0.0131557
1024,10,7.91e-07,7.227e-05,0.0109451
2048,11,1.596e-06,4.642e-05,0.0343817
2048,11,1.507e-06,5.2985e-05,0.028442
2048,11,1.516e-06,5.5734e-05,0.0272006
4096,12,3.08e-06,4.7417e-05,0.0649556
4096,12,3.595e-06,4.9174e-05,0.0731077
4096,12,3.659e-06,5.4464e-05,0.067182
8192,13,6.533e-06,6.2046e-05,0.105293
8192,13,6.478e-06,5.6972e-05,0.113705
8192,13,5.913e-06,4.2952e-05,0.137665
16384,14,1.2222e-05,5.4832e-05,0.222899
16384,14,1.1921e-05,4.9975e-05,0.238539
16384,14,1.2457e-05,5.2231e-05,0.238498
32768,15,2.4293e-05,4.5127e-05,0.538325
32768,15,2.446e-05,5.5233e-05,0.442851
32768,15,2.3813e-05,6.1184e-05,0.389203
65536,16,5.0614e-05,6.4557e-05,0.78402
65536,16,4.8435e-05,5.7752e-05,0.838672
65536,16,4.8953e-05,5.8628e-05,0.834976
131072,17,9.6927e-05,6.2517e-05,1.55041
131072,17,9.5321e-05,7.3595e-05,1.29521
131072,17,0.000100442,7.0117e-05,1.43249
262144,18,0.000202653,8.3337e-05,2.43173
262144,18,0.000198576,8.9214e-05,2.22584
262144,18,0.000211333,7.3138e-05,2.88951
